AÑO,PESQUERIA,CAPTURA_(TONELADAS)
1995,Atun,108224
1995,Camaron,70034
1995,Langosta,2317
1995,Tiburon,21502
1996,Atun,129415
1996,Camaron,65764
1996,Langosta,2554
1996,Tiburon,22445
1997,Atun,141167
1997,Camaron,70918
1997,Langosta,2552
1997,Tiburon,16953
1998,Atun,117823
1998,Camaron,66586
1998,Langosta,2214
1998,Tiburon,17404
1999,Atun,124012
1999,Camaron,66491
1999,Langosta,1987
1999,Tiburon,20093
2000,Atun,103655
2000,Camaron,61597
2000,Langosta,2803
2000,Tiburon,21125
2001,Atun,133288
2001,Camaron,57509
2001,Langosta,2803
2001,Tiburon,19640
2002,Atun,151026
2002,Camaron,54633
2002,Langosta,2998
2002,Tiburon,18911
2003,Atun,166875
2003,Camaron,61543
2003,Langosta,2970
2003,Tiburon,20256
2004,Atun,108326
2004,Camaron,53298
2004,Langosta,2541
2004,Tiburon,22659
2005,Atun,112542
2005,Camaron,68225
2005,Langosta,2513
2005,Tiburon,20585
2006,Atun,82407
2006,Camaron,66071
2006,Langosta,2433
2006,Tiburon,18577
2007,Atun,86522
2007,Camaron,72906
2007,Langosta,2215
2007,Tiburon,21881
2008,Atun,91075
2008,Camaron,66089
2008,Langosta,2587
2008,Tiburon,18725
2009,Atun,105835
2009,Camaron,63175
2009,Langosta,2325
2009,Tiburon,21029
2010,Atun,115437
2010,Camaron,62404
2010,Langosta,3260
2010,Tiburon,21612
2011,Atun,106280
2011,Camaron,74308
2011,Langosta,3228
2011,Tiburon,19445
2012,Atun,96050
2012,Camaron,61532
2012,Langosta,3040
2012,Tiburon,18766
2013,Atun,122770
2013,Camaron,67224
2013,Langosta,3535
2013,Tiburon,21200
2014,Atun,154074
2014,Camaron,71178
2014,Langosta,4459
2014,Tiburon,20352
2015,Atun,122082
2015,Camaron,93621
2015,Langosta,4549
2015,Tiburon,27638
2016,Atun,113275
2016,Camaron,225073
2016,Langosta,4061
2016,Tiburon,33728
2017,Atun,97069
2017,Camaron,227929
2017,Langosta,5190
2017,Tiburon,31894
